"ocrSubjNumR","ocrRepNo"
"1.2.2.1","NACA-TN-1973"
"1.2.2.1","NACA-TN-1977"
"1.2.2.1","NACA-TM-1245"
"1.2.2.1","NACA-TN-1992"
"1.2.2.1","NACA-TR-951"
"1.2.2.1","NACA-TR-956"
"1.2.2.1","NACA-TR-957"
"1.2.2.1","NACA-TR-961"
"1.2.2.1","NACA-TR-962"
"1.2.2.1","NACA-TR-969"
"1.2.2.1","NACA-TR-970"
"1.2.2.1","NACA-TR-971"
"1.2.2.1","NACA-TR-983"
"1.2.2.1","NACA-TR-986"
"1.2.2.1","NACA-TN-1685"
"1.2.2.1","NACA-TN-2007"
"1.2.2.1","NACA-TN-2009"
"1.2.2.1","NACA-TN-2011"
"1.2.2.1","NACA-TN-2034"
"1.2.2.1","NACA-TN-2047"
"1.2.2.1","NACA-TN-2048"
"1.2.2.1","NACA-TN-2114"
"1.2.2.1","NACA-TN-2100"
"1.2.2.1","NACA-TN-2121"
"1.2.2.1","NACA-TN-2122"
"1.2.2.1","NACA-TN-2092"
"1.2.2.1","NACA-TN-2135"
"1.2.2.1","NACA-TN-2140"
"1.2.2.1","NACA-TN-2151"
"1.2.2.1","NACA-TN-2156"
"1.2.2.1","NACA-TN-2141"
"1.2.2.1","NACA-TN-2145"
"1.2.2.1","NACA-TN-2146"
"1.2.2.1","NACA-TN-2147"
"1.2.2.1","NACA-TN-2197"
"1.2.2.1","NACA-TN-2211"
"1.2.2.1","NACA-TN-2221"
"1.2.2.1","NACA-TN-2249"
"1.2.2.1","NACA-TN-2252"
"1.2.2.1","NACA-TN-2256"
"1.2.2.1","NACA-TN-2262"
"1.2.2.1","NACA-TN-2270"
"1.2.2.1","NACA-TN-2273"
"1.2.2.1","NACA-TN-2278"
"1.2.2.1","NACA-TN-2282"
"1.2.2.1","NACA-TN-2283"
"1.2.2.1","NACA-TN-2284"
"1.2.2.1","NACA-TN-2285"
"1.2.2.1","NACA-TN-2294"
"1.2.2.1","NACA-TN-2295"
"1.2.2.1","NACA-TN-2222"
"1.2.2.1","NACA-TN-2303"
"1.2.2.1","NACA-TN-2315"
"1.2.2.1","NACA-TN-2317"
"1.2.2.1","NACA-TN-2333"
"1.2.2.1","NACA-TN-2335"
"1.2.2.1","NACA-TN-2336"
"1.2.2.1","NACA-TN-2344"
"1.2.2.1","NACA-TN-2353"
"1.2.2.2","NACA-TN-1930"
"1.2.2.2","NACA-TN-1991"
"1.2.2.2","NACA-TN-1685"
"1.2.2.2","NACA-RM-E9H10"
"1.2.2.2","NACA-TN-2100"
"1.2.2.2","NACA-TN-2332"
"1.2.2.2","NACA-TN-2352"
